Area_name,Inner/_Outer_London,GLA_Population_Estimate_2017,GLA_Household_Estimate_2017,Population_density_(per_hectare)_2017,"Average_Age,_2017","Proportion_of_population_aged_0-15,_2015","Proportion_of_population_of_working-age,_2015","Proportion_of_population_aged_65_and_over,_2015",%_of_resident_population_born_abroad_(2015),Largest_migrant_population_by_country_of_birth_(2011),%_of_largest_migrant_population_(2011),Second_largest_migrant_population_by_country_of_birth_(2011),%_of_second_largest_migrant_population_(2011),Third_largest_migrant_population_by_country_of_birth_(2011),%_of_third_largest_migrant_population_(2011),%_of_population_from_BAME_groups_(2016),%_people_aged_3+_whose_main_language_is_not_English_(2011_Census),"Overseas_nationals_entering_the_UK_(NINo),_(2015/16)","New_migrant_(NINo)_rates,_(2015/16)",Largest_migrant_population_arrived_during_2015/16,Second_largest_migrant_population_arrived_during_2015/16,Third_largest_migrant_population_arrived_during_2015/16,Employment_rate_(%)_(2015),Male_employment_rate_(2015),Female_employment_rate_(2015),Unemployment_rate_(2015),Proportion_of_the_working-age_population_who_claim_out-of-work_benefits_(%)_(May-2016),%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,"Gross_Annual_Pay,_(2016)",Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,%_of_employment_that_is_in_public_sector_(2014),Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),"Median_House_Price,_2015","Average_Band_D_Council_Tax_charge_(�),_2015/16",New_Homes_(net)_2015/16_(provisional),"Homes_Owned_outright,_(2014)_%","Being_bought_with_mortgage_or_loan,_(2014)_%","Rented_from_Local_Authority_or_Housing_Association,_(2014)_%","Rented_from_Private_landlord,_(2014)_%","%_of_area_that_is_Greenspace,_2005","Household_Waste_Recycling_Rate,_2014/15","Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)","%_of_adults_who_cycle_at_least_once_per_month,_2014/15","Average_Public_Transport_Accessibility_score,_2014",%_of_pupils_whose_first_language_is_not_English_(2015),%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity_Prevalance_(%)_2015/16,People_aged_17+_with_diabetes_(%),Mortality_rate_from_causes_considered_preventable_2012/14
City of London,Inner London,8800,5326,30,43.2,11.4,73.1,15.5,.,United States,2.8,France,2.0,Australia,1.9,27.5,17.1,975.0,152.2,India,France,United States,64.6,.,.,.,3.4,.,.,.,.,.,.,63620.0,3.4,.,12.3,799999.0,931.2,80.0,.,.,.,.,4.8,34.4,1692.0,0.4,16.9,7.9,.,7.9,.,.,.,6.6,7.1,6.0,5.6,n/a,2.6,129.0
Barking and Dagenham,Outer London,209000,78188,58,32.9,27.2,63.1,9.7,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,7538.0,59.1,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11.0,10.5,17.2,11.3,32.2,27886.0,30104.0,24602.0,29420.0,21.1,83.4,3.0,243500.0,1354.0,730.0,16.4,27.4,35.9,20.3,33.6,23.4,56966.0,0.8,8.8,3.0,41.7,18.7,77.6,82.1,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228.0
Barnet,Outer London,389600,151423,45,37.3,21.1,64.9,14.0,35.2,India,3.1,Poland,2.4,Iran,2.0,38.7,23.4,13094.0,53.1,Romania,Poland,Italy,68.5,74.5,62.9,8.5,6.2,14.9,5.2,49.0,33443.0,36475.0,31235.0,40530.0,18.7,62.7,1.6,445000.0,1397.1,1460.0,32.4,25.2,11.1,31.1,41.3,38.0,144717.0,1.1,7.4,3.0,46.0,9.3,82.1,85.1,12.8,7.5,7.8,7.4,2.8,20.7,6.0,134.0
Bexley,Outer London,244300,97736,40,39.0,20.6,62.9,16.6,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6.0,2198.0,14.4,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,6.8,15.9,10.8,33.5,34350.0,37881.0,28924.0,36990.0,15.9,51.8,2.3,275000.0,1472.4,-130.0,38.1,35.3,15.2,11.4,31.7,54.0,108507.0,1.2,10.6,2.6,32.6,12.6,80.4,84.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164.0
Brent,Outer London,332100,121048,77,35.6,20.9,67.8,11.3,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,22162.0,100.9,Romania,Italy,Portugal,69.5,76.0,62.6,7.5,8.3,17.7,6.2,45.1,29812.0,30129.0,29600.0,32140.0,17.6,78.8,1.8,407250.0,1377.2,1050.0,22.2,22.6,20.4,34.8,21.9,35.2,87802.0,0.8,7.9,3.7,37.6,13.7,80.1,85.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169.0
Bromley,Outer London,327900,140602,22,40.2,19.9,62.6,17.5,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,2924.0,14.4,Romania,Italy,Spain,75.3,80.4,70.4,5.3,6.0,15.9,4.3,46.7,37682.0,42026.0,32491.0,43060.0,13.9,64.1,2.3,374975.0,1347.3,700.0,37.8,34.9,13.2,14.1,57.8,48.0,153908.0,1.2,13.0,2.8,38.9,10.2,81.4,84.9,16.7,7.5,7.9,7.4,3.3,16.0,5.2,148.0
Camden,Inner London,242500,107654,111,36.4,17.3,71.0,11.7,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,10384.0,60.7,Italy,France,Spain,69.2,72.2,66.1,4.0,8.5,21.3,6.1,61.1,39796.0,.,36632.0,43750.0,12.4,123.5,2.7,700000.0,1359.7,970.0,18.5,15.1,34.4,32.0,24.8,26.3,46601.0,0.5,18.8,5.7,25.2,16.5,81.8,86.7,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164.0
Croydon,Outer London,386500,159010,45,37.0,22.0,64.9,13.0,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,7946.0,32.3,Romania,Poland,Italy,75.4,81.8,69.5,4.1,7.8,17.5,7.0,40.6,32696.0,35839.0,29819.0,37000.0,20.1,77.0,2.2,300000.0,1494.1,2040.0,30.8,33.6,16.7,18.6,37.1,39.9,140049.0,1.0,12.8,3.2,36.7,14.1,80.3,83.6,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178.0
Ealing,Outer London,351600,132663,63,36.2,21.4,66.8,11.8,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,14927.0,65.2,Poland,Romania,Italy,72.7,81.2,63.8,5.8,7.9,15.2,9.1,49.7,31331.0,32185.0,29875.0,36070.0,13.6,75.5,1.9,430000.0,1335.9,720.0,20.1,30.2,14.3,35.0,30.9,40.1,112845.0,0.9,15.0,3.3,43.6,13.1,80.6,84.2,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164.0
Enfield,Outer London,333000,130328,41,36.3,22.8,64.4,12.8,35.0,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,22.9,9259.0,43.8,Romania,Bulgaria,Poland,73.0,80.4,66.0,3.8,9.3,18.4,4.5,43.4,31603.0,35252.0,30222.0,33110.0,21.7,69.4,2.2,320000.0,1420.2,670.0,25.6,36.2,17.2,21.0,45.6,38.5,119653.0,1.0,7.9,3.0,55.3,17.4,80.7,84.1,24.6,7.3,7.6,7.3,2.6,25.2,7.0,152.0
Greenwich,Outer London,280100,113964,59,35.0,21.9,67.7,10.4,35.4,Nigeria,5.1,Nepal,1.9,India,1.7,40.3,16.9,7002.0,37.6,Romania,Bulgaria,Italy,72.1,77.9,66.3,8.1,9.5,20.2,10.6,42.2,32415.0,35596.0,29833.0,35350.0,27.3,79.4,2.5,340000.0,1296.2,1720.0,19.2,26.9,34.2,19.7,34.4,34.3,78185.0,0.8,7.7,3.4,44.1,17.1,79.0,82.5,28.1,7.2,7.6,7.2,3.4,27.7,6.1,193.0
Hackney,Inner London,274300,115417,144,33.1,20.7,72.1,7.2,35.8,Turkey,3.6,Nigeria,2.7,Jamaica,1.8,43.6,24.1,8927.0,46.0,Italy,France,Spain,69.0,72.8,65.3,5.9,10.7,17.9,10.8,49.2,32056.0,.,31919.0,35140.0,18.1,99.6,2.7,485000.0,1294.4,830.0,11.1,19.8,45.4,23.3,23.2,25.3,41800.0,0.4,25.2,4.9,44.2,19.7,78.5,83.3,24.7,7.0,7.3,7.0,3.8,27.0,5.8,211.0
Hammersmith and Fulham,Inner London,185300,83552,113,35.7,17.4,72.3,10.3,43.2,France,2.7,Ireland,2.7,Australia,2.5,33.7,22.7,9256.0,71.4,Italy,France,Spain,77.5,80.9,74.2,4.7,8.4,12.9,4.9,67.5,38041.0,43845.0,34808.0,43820.0,16.4,113.2,2.0,730000.0,1003.8,370.0,19.1,21.8,25.9,33.1,19.1,20.7,43843.0,0.5,20.1,4.7,48.9,16.1,79.7,84.1,22.4,7.4,7.5,7.2,3.1,21.3,4.4,187.0
Haringey,Inner London,278000,115608,94,35.1,20.0,70.7,9.3,39.6,Poland,4.3,Turkey,4.0,Jamaica,2.0,38.2,29.7,15144.0,78.5,Romania,Italy,Bulgaria,71.3,77.6,64.8,5.7,9.7,16.3,8.8,49.2,31063.0,.,29513.0,35420.0,17.8,90.2,2.1,432500.0,1484.0,240.0,18.0,24.7,33.4,23.9,25.5,37.3,61515.0,0.6,14.1,4.3,48.0,16.9,80.1,84.9,22.6,7.2,7.5,7.2,3.2,23.8,5.9,183.0
Harrow,Outer London,252300,92557,50,38.3,20.5,64.5,15.0,49.6,India,9.0,Kenya,4.9,Sri Lanka,4.3,61.8,28.5,10427.0,65.4,Romania,India,Poland,73.9,83.1,64.7,4.6,5.4,13.9,4.2,47.9,33202.0,.,29335.0,38880.0,14.5,50.4,1.3,396150.0,1559.6,910.0,33.5,32.8,8.9,24.6,34.6,45.1,100326.0,1.2,8.3,2.9,57.6,9.1,82.7,86.1,11.0,7.3,7.4,7.3,2.7,20.2,8.5,134.0
